time,Gestures,Vocalizations ,Single Words,Multiple Words
6MO,1.1487,1.3863,0.0190,0.0398
9MO,1.3142,2.0871,0.0517,0.0270
12MO,1.5839,3.0438,0.1421,0.0306
15MO,1.7031,3.2940,0.4301,0.0640
18MO,1.6261,3.4405,1.0399,0.1192
21MO,1.5190,3.2666,1.7780,0.4931
24MO,1.3963,2.7161,2.4803,1.3186
27MO,1.3927,2.4091,2.6874,2.2164
30MO,1.3598,2.0368,2.6780,3.1135
33MO,1.2133,1.8055,2.7550,3.7690
36MO,1.3825,1.6871,2.8296,4.3295
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
