time,Type,Rate
6,Gestures,1.1487
9,Gestures,1.3142
12,Gestures,1.5839
15,Gestures,1.7031
18,Gestures,1.6261
21,Gestures,1.519
24,Gestures,1.3963
27,Gestures,1.3927
30,Gestures,1.3598
33,Gestures,1.2133
36,Gestures,1.3825
6,Vocalizations,1.3863
9,Vocalizations,2.0871
12,Vocalizations,3.0438
15,Vocalizations,3.294
18,Vocalizations,3.4405
21,Vocalizations,3.2666
24,Vocalizations,2.7161
27,Vocalizations,2.4091
30,Vocalizations,2.0368
33,Vocalizations,1.8055
36,Vocalizations,1.6871
6,Single Words,0.019
9,Single Words,0.0517
12,Single Words,0.1421
15,Single Words,0.4301
18,Single Words,1.0399
21,Single Words,1.778
24,Single Words,2.4803
27,Single Words,2.6874
30,Single Words,2.678
33,Single Words,2.755
36,Single Words,2.8296
6,Multiple Words,0.0398
9,Multiple Words,0.027
12,Multiple Words,0.0306
15,Multiple Words,0.064
18,Multiple Words,0.1192
21,Multiple Words,0.4931
24,Multiple Words,1.3186
27,Multiple Words,2.2164
30,Multiple Words,3.1135
33,Multiple Words,3.769
36,Multiple Words,4.3295
